order_id,order_date,region,signup_channel,rating,customer_age,revenue,marketing_spend
5045,2025-03-11,east,organic,5,66,450.34,123.37
5046,2025-03-31,south,organic,4,65,77.78,66.63
5047,2025-07-04,east,paid_ad,2,31,106.95,70.04
5048,2025-02-02,north,referral,3,41,543.36,114.96
5049,2025-10-08,north,referral,2,43,664.2,128.4
5050,2025-04-26,west,paid_ad,5,41,77.48,7.08
5051,2025-07-04,west,organic,1,25,379.03,164.56
5052,2025-08-26,west,paid_ad,5,27,311.95,80.97
5053,2025-10-05,south,organic,5,58,109.26,40.74
5054,2025-04-12,north,organic,5,30,381.93,109.93
5055,2025-07-12,west,organic,1,29,41.96,82.51
5056,2025-10-01,west,referral,3,29,73.44,72.95
5057,2025-11-13,south,organic,1,35,6.46,29.71
5058,2025-10-03,north,organic,3,63,208.2,
5059,2025-08-04,south,referral,5,21,17.28,45.68
5060,2025-07-30,south,organic,3,49,273.58,100.27
5061,2025-09-26,west,organic,5,65,176.8,88.36
5062,2025-07-24,east,paid_ad,1,31,109.01,56.25
5063,2025-03-05,west,referral,4,35,169.43,31.74
5064,2025-12-20,south,paid_ad,3,35,88.84,38.66
5065,2025-10-16,west,paid_ad,1,26,214.77,63.21
5066,2025-08-21,west,referral,4,65,191.48,106.06
5067,2025-06-01,north,organic,2,61,635.9,178.18
5068,2025-07-23,east,referral,5,57,50.16,12.45
5069,2025-10-13,east,referral,4,24,197.8,85.81
5070,2025-09-14,east,paid_ad,2,43,35.18,88.93
5071,2025-02-26,east,organic,2,35,190.37,103.1
5072,2025-01-02,west,referral,2,66,41.19,57.24
5073,2025-09-06,south,referral,3,19,191.08,80.13
5074,2025-09-23,north,referral,2,37,52.44,42.71
5075,2025-08-09,north,organic,4,29,694.39,172.73
5076,2025-06-08,north,paid_ad,3,49,0.65,30.89
5077,2025-02-12,west,referral,2,33,448.74,130.53
5078,2025-01-18,west,organic,4,57,451.24,99.1
5079,2025-08-01,west,organic,2,69,126.22,20.04
5080,2025-02-14,north,referral,4,57,7.71,60.79
5081,2025-08-11,west,paid_ad,5,36,524.8,117.79
5082,2025-06-08,west,organic,3,41,319.31,50.04
5083,2025-05-07,east,organic,2,50,154.01,105.81
5084,2025-06-14,north,paid_ad,5,35,314.28,96.19
5085,2025-10-11,north,referral,5,50,33.12,55.56
5086,2025-07-25,east,referral,2,26,73.7,16.06
5087,2025-09-10,south,organic,4,37,184.83,37.16
5088,2025-08-01,east,paid_ad,5,39,332.2,87.92
5089,2025-05-02,west,organic,5,18,41.75,56.76
5090,2025-12-28,west,organic,1,51,152.97,37.39
5091,2025-08-23,north,referral,1,50,11.5,37.25
5092,2025-06-09,east,organic,5,26,136.04,60.58
5093,2025-12-15,north,referral,2,56,100.27,59.41
5094,2025-07-29,north,organic,5,23,70.06,92.05
5095,2025-08-22,north,referral,5,42,124.08,75.23
5096,2025-11-27,north,referral,1,68,29.84,23.66
5097,2025-03-01,west,organic,5,27,170.88,64.84
5098,2025-09-29,east,organic,4,38,901.55,159.9
5099,2025-07-13,north,referral,3,33,12.35,58.43
5100,2025-03-23,north,organic,5,25,450.4,114.02
5101,2025-05-09,east,referral,5,43,177.57,73.82
5102,2025-12-08,north,organic,5,39,1224.86,247.18
5103,2025-08-13,north,paid_ad,2,50,12.61,24.5
5104,2025-08-25,west,referral,4,22,61.66,43.26
5105,2025-02-13,east,paid_ad,5,55,598.89,118.26
5106,2025-01-12,north,paid_ad,3,21,637.98,125.54
5107,2025-09-23,south,referral,3,41,150.79,76.28
5108,2025-12-06,south,paid_ad,1,42,56.76,29.4
5109,2025-02-17,east,paid_ad,4,68,312.6,53.94
5110,2025-03-21,east,referral,2,41,75.08,
5111,2025-05-13,north,paid_ad,3,60,334.32,77.48
5112,2025-01-23,south,referral,3,53,434.09,137.77
5113,2025-12-28,west,referral,2,18,124.34,70.57
5114,2025-07-20,east,referral,3,27,47.09,45.09
5115,2025-06-15,east,organic,5,52,279.57,79.8
5116,2025-01-25,east,organic,4,52,632.48,120.75
5117,2025-02-23,north,referral,5,58,513.51,146.07
5118,2025-06-04,north,referral,5,54,102.67,61.18
5119,2025-07-25,west,paid_ad,4,55,198.44,81.03
5120,2025-02-14,south,paid_ad,5,31,43.63,22.18
5121,2025-10-07,east,referral,3,20,133.94,47.54
5122,2025-10-22,west,paid_ad,1,39,631.59,133.3
5123,2025-05-15,west,paid_ad,5,70,175.7,93.72
5124,2025-11-26,east,paid_ad,5,70,190.66,50.93
5125,2025-12-13,west,paid_ad,4,30,10.4,82.61
5126,2025-02-18,south,organic,3,25,95.64,52.12
5127,2025-04-01,east,paid_ad,3,37,149.66,47.17
5128,2025-04-21,north,referral,2,57,445.06,157.2
5129,2025-12-13,north,paid_ad,5,68,248.49,58.17
5130,2025-05-03,west,organic,5,67,193.86,51.48
5131,2025-06-01,south,referral,2,38,262.43,111.96
5132,2025-02-03,west,organic,4,67,4.82,
5133,2025-09-07,north,organic,4,32,490.53,131.21
5134,2025-09-25,north,referral,4,29,540.79,91.62
5135,2025-01-07,south,paid_ad,5,35,146.27,54.55
5136,2025-11-09,south,paid_ad,5,18,143.15,23.83
5137,2025-12-09,north,organic,3,54,1259.65,283.67
5138,2025-05-25,north,referral,3,58,387.92,121.24
5139,2025-01-04,north,referral,1,18,96.82,27.78
5140,2025-08-29,east,referral,3,49,112.85,67.62
5141,2025-05-09,west,paid_ad,1,58,503.38,113.23
5142,2025-03-16,west,referral,2,63,170.35,90.73
5143,2025-04-11,east,paid_ad,1,56,258.78,72.45
5144,2025-12-17,east,paid_ad,2,20,7.38,38.05
5145,2025-04-10,north,referral,2,20,47.86,25.68
5146,2025-05-11,north,organic,1,34,667.06,176.24
5147,2025-11-08,north,referral,4,36,33.77,56.75
5148,2025-07-27,south,referral,5,29,23.26,
5149,2025-09-30,west,paid_ad,2,68,31.56,68.19
5150,2025-02-18,north,referral,1,26,100.63,5.0
5151,2025-05-09,north,referral,2,32,47.89,64.16
5152,2025-12-14,south,paid_ad,2,57,181.74,56.25
5153,2025-12-27,north,referral,3,55,398.14,127.57
5154,2025-07-29,west,paid_ad,3,49,191.27,54.17
5155,2025-09-26,east,organic,1,29,18.41,87.76
5156,2025-06-02,north,organic,2,46,23.72,11.79
5157,2025-12-10,north,paid_ad,1,40,467.9,116.77
5158,2025-02-15,east,paid_ad,4,66,13.43,5.0
5159,2025-06-13,south,referral,4,53,127.02,37.82
5160,2025-05-13,east,paid_ad,5,69,387.65,121.95
5161,2025-07-06,north,organic,1,56,106.8,56.87
5162,2025-01-21,south,organic,1,39,280.23,90.25
5163,2025-04-26,east,referral,1,28,143.04,43.81
5164,2025-10-24,west,organic,1,36,547.53,97.54
5165,2025-02-17,west,paid_ad,3,55,579.94,110.45
5166,2025-11-15,east,referral,2,45,2.71,32.71
5167,2025-10-21,east,organic,4,30,210.51,37.15
5168,2025-03-29,south,paid_ad,1,69,98.45,21.67
5169,2025-08-17,east,organic,1,52,1000.85,210.35
5170,2025-10-25,south,organic,5,53,61.54,55.0
5171,2025-05-01,west,paid_ad,2,38,34.21,5.0
5172,2025-06-22,east,referral,2,67,135.62,78.75
5173,2025-02-19,south,organic,2,27,130.56,
5174,2025-07-11,south,referral,1,19,460.33,87.64
5175,2025-06-10,north,paid_ad,4,32,81.63,39.96
5176,2025-06-06,south,organic,1,63,223.36,32.53
5177,2025-06-06,east,paid_ad,1,56,1132.69,236.21
5178,2025-08-13,west,paid_ad,2,62,23.95,5.0
5179,2025-10-29,south,organic,3,29,144.84,85.74
5180,2025-12-27,west,organic,5,65,41.57,41.84
5181,2025-04-10,north,referral,3,39,32.26,44.05
5182,2025-05-06,east,organic,1,54,97.62,93.76
5183,2025-07-15,south,paid_ad,2,18,81.61,27.61
5184,2025-11-11,south,referral,3,64,17.38,35.06
5185,2025-01-15,east,paid_ad,1,32,264.48,71.04
5186,2025-07-05,south,referral,2,60,127.03,102.99
5187,2025-07-18,east,referral,2,27,386.48,115.92
5188,2025-03-22,west,organic,1,70,107.82,76.0
5189,2025-08-03,north,paid_ad,1,24,75.88,5.0
5190,2025-02-16,south,organic,5,19,253.85,61.26
5191,2025-02-11,south,organic,4,41,131.95,41.52
5192,2025-04-09,south,paid_ad,3,46,141.72,60.71
5193,2025-05-04,south,organic,2,65,99.14,57.8
5194,2025-12-09,north,referral,5,27,578.91,106.14
5195,2025-10-27,west,referral,2,34,587.85,117.31
5196,2025-02-10,east,paid_ad,1,22,475.09,141.12
5197,2025-12-20,north,organic,3,67,53.54,43.01
5198,2025-01-24,west,organic,3,66,215.41,36.18
5199,2025-08-02,north,organic,2,20,280.04,90.54
5200,2025-07-23,north,referral,3,26,318.3,105.89
5201,2025-02-24,south,paid_ad,5,49,84.61,56.41
5202,2025-03-10,north,paid_ad,2,42,128.76,89.51
5203,2025-12-26,east,referral,5,67,332.27,111.19
5204,2025-12-22,west,referral,3,48,19.85,13.14
5205,2025-12-11,north,paid_ad,5,35,99.37,40.4
5206,2025-04-15,east,paid_ad,2,31,35.42,6.52
5207,2025-12-13,east,referral,5,43,312.03,78.76
5208,2025-10-05,north,paid_ad,2,30,226.6,45.56
5209,2025-03-01,south,organic,5,61,73.2,62.77
5210,2025-05-30,south,organic,4,35,23.03,51.66
5211,2025-01-22,west,organic,1,27,66.82,42.81
5212,2025-04-13,south,paid_ad,2,48,242.51,34.3
5213,2025-07-15,north,paid_ad,5,45,121.24,38.61
5214,2025-11-17,west,paid_ad,5,19,115.63,96.11
5215,2025-10-14,north,organic,4,48,103.06,87.62
5216,2025-08-10,north,organic,3,40,1062.5,224.71
5217,2025-10-29,north,organic,5,61,710.21,178.1
5218,2025-08-18,north,paid_ad,5,28,339.7,46.97
5219,2025-03-30,east,organic,2,43,662.74,186.18
5220,2025-08-28,west,referral,5,61,683.73,160.74
5221,2025-05-28,east,paid_ad,4,32,65.97,60.07
5222,2025-01-22,east,referral,1,34,73.85,31.53
5223,2025-06-24,north,paid_ad,3,69,536.73,141.26
5224,2025-08-07,south,paid_ad,1,40,268.34,101.18
5225,2025-07-06,north,referral,2,69,9.27,52.55
5226,2025-12-07,south,organic,1,35,32.97,57.67
5227,2025-05-13,south,paid_ad,2,31,63.53,17.69
5228,2025-03-19,east,paid_ad,5,43,582.65,127.54
5229,2025-04-10,north,referral,2,39,289.51,52.61
5230,2025-03-27,north,referral,5,25,225.43,116.18
5231,2025-07-07,north,paid_ad,3,54,34.15,61.06
5232,2025-01-09,west,referral,3,35,100.12,102.58
5233,2025-12-16,east,organic,5,61,122.99,69.23
5234,2025-08-14,north,referral,4,35,3.18,12.55
5235,2025-08-09,west,referral,1,65,663.7,148.6
5236,2025-03-18,west,organic,3,28,119.64,90.45
5237,2025-05-10,north,referral,4,47,352.13,89.36
5238,2025-12-02,south,paid_ad,5,26,116.05,53.62
5239,2025-02-15,east,organic,2,53,384.61,
5240,2025-07-24,east,referral,5,28,35.51,24.68
5241,2025-07-28,west,referral,2,22,11.99,28.87
5242,2025-03-11,north,referral,1,31,34.2,70.18
5243,2025-07-03,south,organic,5,51,208.78,97.98
5244,2025-12-12,north,referral,3,62,7.25,38.98
5245,2025-05-27,east,paid_ad,2,33,3.27,16.4
5246,2025-02-02,south,paid_ad,1,42,503.63,109.55
5247,2025-02-18,north,organic,4,44,305.37,50.09
5248,2025-01-15,east,organic,3,18,159.48,94.99
5249,2025-04-10,east,referral,3,18,138.66,89.38
5250,2025-09-02,west,organic,4,50,19.96,42.04
5251,2025-10-23,south,paid_ad,5,31,98.96,35.18
5252,2025-11-29,west,paid_ad,2,44,102.29,74.54
5253,2025-02-17,west,paid_ad,4,38,16.26,29.41
5254,2025-02-13,east,organic,4,39,3.86,60.49
5255,2025-02-27,north,paid_ad,1,27,64.94,56.73
5256,2025-09-19,west,paid_ad,2,36,903.11,240.63
5257,2025-01-06,south,organic,3,21,128.15,70.28
5258,2025-08-31,north,referral,4,39,37.2,5.0
5259,2025-08-16,north,organic,3,58,271.01,95.52
5260,2025-09-17,south,referral,5,27,208.36,
5261,2025-08-30,east,referral,4,55,132.92,42.02
5262,2025-08-29,east,organic,2,21,167.73,54.68
5263,2025-04-04,west,paid_ad,3,18,34.29,26.54
5264,2025-11-15,east,referral,3,37,120.07,93.54
5265,2025-12-01,south,paid_ad,3,40,313.35,
5266,2025-02-24,west,referral,3,69,35.01,99.12
5267,2025-03-27,east,organic,4,41,66.94,63.36
5268,2025-02-24,west,paid_ad,2,42,690.44,156.37
5269,2025-11-05,west,referral,4,26,1.44,49.42
5270,2025-03-15,north,referral,5,53,208.9,62.62
5271,2025-04-26,east,organic,1,27,219.44,
5272,2025-05-02,east,organic,1,27,61.05,72.11
5273,2025-09-08,south,paid_ad,2,50,321.22,82.2
5274,2025-03-22,east,organic,5,47,323.12,75.43
5275,2025-12-06,north,referral,1,59,180.76,27.54
5276,2025-04-25,south,organic,5,39,20.71,69.73
5277,2025-02-04,north,paid_ad,3,67,62.45,49.04
5278,2025-08-18,north,paid_ad,5,41,257.56,36.15
5279,2025-09-05,east,paid_ad,1,23,252.15,98.0
5280,2025-03-01,west,referral,4,49,359.46,95.26
5281,2025-10-12,east,paid_ad,2,50,163.48,60.15
5282,2025-01-15,east,organic,3,49,182.86,43.33
5283,2025-10-27,north,organic,2,45,286.85,84.52
5284,2025-10-31,west,organic,2,43,274.76,86.91
5285,2025-07-07,west,organic,3,57,282.84,72.81
5286,2025-05-10,south,organic,2,70,10.72,
5287,2025-06-26,east,paid_ad,3,29,303.55,102.57
5288,2025-07-18,west,paid_ad,1,42,280.05,78.96
5289,2025-01-05,west,referral,5,66,6.34,47.21
5290,2025-11-10,north,organic,5,35,95.22,52.67
5291,2025-01-06,east,paid_ad,1,20,233.09,45.61
5292,2025-10-22,south,paid_ad,5,34,167.02,54.4
5293,2025-11-06,north,organic,2,27,268.19,91.54
5294,2025-06-03,west,organic,4,69,12.66,25.8
5295,2025-07-16,west,organic,4,70,1.52,105.29
5296,2025-08-07,east,referral,1,22,10.96,38.56
5297,2025-12-08,south,referral,5,30,56.32,18.31
5298,2025-04-11,north,paid_ad,2,58,143.36,47.77
5299,2025-04-10,south,organic,2,63,6.96,78.3
5300,2025-10-26,north,paid_ad,4,20,610.86,113.54
5301,2025-06-01,south,referral,5,47,105.24,71.99
5302,2025-11-21,east,organic,4,18,37.65,36.09
5303,2025-02-23,north,organic,1,32,540.42,114.6
5304,2025-11-16,east,organic,4,61,422.13,123.85
5305,2025-12-07,south,paid_ad,1,50,450.62,88.04
5306,2025-05-28,north,paid_ad,4,54,64.6,5.0
5307,2025-09-18,north,paid_ad,2,31,319.37,69.72
5308,2025-04-20,north,referral,3,52,6.22,46.24
5309,2025-04-18,east,paid_ad,1,22,213.04,109.72
5310,2025-08-16,south,referral,1,34,80.46,25.59
5311,2025-09-26,north,organic,4,46,294.56,
5312,2025-12-24,south,referral,5,64,19.05,67.68
5313,2025-10-10,north,referral,3,20,107.41,115.62
5314,2025-12-27,west,organic,5,37,158.06,75.38
5315,2025-10-11,east,paid_ad,4,34,578.25,
5316,2025-09-20,east,referral,2,36,28.84,48.76
5317,2025-02-01,west,paid_ad,3,60,691.36,171.7
5318,2025-04-24,east,paid_ad,2,59,352.53,70.77
5319,2025-06-05,east,paid_ad,1,21,150.62,38.14
5320,2025-01-16,south,organic,5,61,13.51,43.32
5321,2025-06-29,north,referral,4,23,362.21,73.9
5322,2025-05-19,north,paid_ad,2,22,206.94,86.96
5323,2025-02-06,north,paid_ad,2,44,123.86,81.86
5324,2025-07-27,east,referral,4,42,4.51,42.12
5325,2025-01-26,west,referral,5,57,372.17,159.62
5326,2025-12-08,north,organic,3,62,41.19,5.27
5327,2025-08-19,west,paid_ad,4,55,101.42,14.88
5328,2025-02-28,east,organic,1,35,151.18,67.03
5329,2025-08-28,north,referral,1,27,96.7,73.21
5330,2025-10-23,west,referral,1,38,107.01,73.47
5331,2025-03-13,north,referral,5,35,388.01,121.34
5332,2025-02-24,west,referral,5,40,281.45,97.07
5333,2025-09-07,north,paid_ad,5,60,490.69,
5334,2025-06-08,north,organic,5,61,391.66,136.72
5335,2025-07-28,west,organic,4,35,59.17,58.13
5336,2025-04-29,south,paid_ad,3,32,233.61,121.65
5337,2025-08-09,north,organic,4,22,242.4,92.17
5338,2025-04-18,north,organic,4,39,270.78,51.12
5339,2025-10-27,north,paid_ad,5,35,12.38,22.03
5340,2025-06-02,west,paid_ad,5,52,89.69,58.99
5341,2025-11-03,south,paid_ad,3,70,364.39,162.51
5342,2025-08-31,south,referral,5,18,60.9,26.75
5343,2025-09-30,north,referral,3,65,40.05,45.05
5344,2025-05-15,east,referral,1,59,96.38,68.53
5345,2025-01-06,east,paid_ad,1,62,128.24,41.67
5346,2025-06-16,south,referral,2,57,56.91,
5347,2025-08-23,north,referral,3,69,213.87,70.93
5348,2025-01-15,east,referral,2,61,31.35,5.0
5349,2025-11-18,west,organic,5,26,105.18,11.84
5350,2025-09-08,north,referral,5,61,405.4,99.58
5351,2025-05-14,south,organic,3,43,90.31,76.35
5352,2025-01-18,west,referral,5,34,93.15,75.54
5353,2025-05-28,east,organic,2,67,166.17,63.93
5354,2025-07-17,north,referral,1,29,445.79,145.65
5355,2025-03-09,south,referral,1,20,48.8,81.63
5356,2025-12-03,north,paid_ad,2,28,179.63,29.25
5357,2025-08-27,west,referral,1,19,326.88,80.17
5358,2025-07-22,north,organic,3,38,54.93,53.71
5359,2025-02-02,east,referral,1,32,321.99,60.61
5360,2025-01-24,west,paid_ad,5,63,235.94,86.52
5361,2025-07-04,east,organic,1,34,558.98,139.11
5362,2025-04-23,south,organic,2,66,162.61,79.54
5363,2025-01-17,south,organic,4,40,5.24,28.91
5364,2025-07-13,east,referral,5,51,206.82,79.25
5365,2025-12-26,east,referral,1,39,15.29,72.41
5366,2025-09-23,south,referral,1,62,12.73,
5367,2025-09-19,east,organic,1,55,14.53,32.32
5368,2025-01-21,east,organic,4,70,432.98,96.98
5369,2025-06-27,north,paid_ad,3,42,284.45,51.6
5370,2025-04-01,north,referral,4,33,123.02,33.07
5371,2025-05-11,west,paid_ad,2,23,170.49,50.62
5372,2025-03-31,east,paid_ad,5,45,269.38,21.65
5373,2025-07-12,west,organic,2,57,199.24,48.01
5374,2025-09-02,south,referral,2,43,161.76,58.16
5375,2025-05-23,east,referral,1,41,303.44,69.7
5376,2025-10-31,north,organic,1,33,70.74,53.66
5377,2025-03-26,south,organic,5,28,188.62,122.14
5378,2025-06-09,east,referral,4,27,328.81,73.92
5379,2025-10-16,north,paid_ad,1,31,33.06,12.55
5380,2025-05-13,east,referral,1,30,394.55,114.38
5381,2025-11-01,north,paid_ad,5,28,108.96,25.91
5382,2025-10-02,west,organic,1,27,490.26,99.64
5383,2025-10-25,north,referral,4,52,89.71,39.84
5384,2025-06-09,north,paid_ad,4,22,132.49,51.82
5385,2025-07-01,south,organic,2,31,604.69,145.56
5386,2025-01-16,south,paid_ad,4,66,50.16,
5387,2025-12-13,west,paid_ad,1,61,16.47,22.75
5388,2025-10-23,west,referral,3,64,49.22,59.06
5389,2025-10-15,west,paid_ad,2,69,61.91,54.96
5390,2025-11-21,west,paid_ad,5,67,292.02,73.3
5391,2025-10-04,east,organic,4,64,335.61,92.08
5392,2025-06-13,south,referral,1,27,321.87,92.89
5393,2025-07-14,south,referral,2,37,58.43,84.94
5394,2025-02-01,north,referral,4,20,204.96,37.94
5395,2025-06-06,east,organic,1,61,62.81,79.67
5396,2025-02-01,south,organic,4,41,139.12,51.86
5397,2025-11-21,east,referral,3,44,57.92,28.89
5398,2025-07-05,south,paid_ad,1,33,213.99,108.89
5399,2025-03-14,north,paid_ad,4,34,358.0,99.92
5400,2025-11-22,north,referral,5,69,188.2,49.81
5401,2025-06-05,south,referral,1,18,261.38,81.88
5402,2025-02-24,west,paid_ad,2,49,8.8,14.99
5403,2025-03-26,south,referral,5,52,86.25,20.01
5404,2025-03-04,south,referral,4,37,118.12,52.35
5405,2025-07-07,east,paid_ad,4,67,215.87,80.6
5406,2025-09-05,east,referral,4,58,291.4,93.65
5407,2025-05-27,south,organic,4,30,206.36,61.74
5408,2025-07-23,east,organic,3,43,129.88,83.87
5409,2025-07-02,north,paid_ad,4,31,702.91,154.47
5410,2025-08-26,west,referral,4,70,153.19,70.01
5411,2025-11-19,east,organic,4,19,32.43,74.34
5412,2025-02-14,south,organic,3,59,58.95,55.31
5413,2025-08-14,west,paid_ad,5,67,222.36,93.95
5414,2025-12-22,south,referral,2,38,28.05,
5415,2025-05-21,south,referral,3,28,201.98,49.28
5416,2025-05-12,north,organic,2,38,46.58,5.0
5417,2025-04-11,south,organic,1,49,39.16,70.74
5418,2025-07-09,west,referral,2,57,142.7,69.95
5419,2025-03-17,north,paid_ad,4,43,255.63,103.45
5420,2025-07-19,north,organic,4,69,135.02,64.53
5421,2025-07-09,east,organic,2,31,86.27,48.56
5422,2025-12-21,east,organic,2,65,278.78,96.28
5423,2025-02-26,west,organic,2,52,290.92,56.85
5424,2025-06-23,south,paid_ad,1,29,1.29,24.84
5425,2025-04-18,west,referral,2,30,164.64,64.26
5426,2025-12-17,north,referral,3,61,901.26,204.29
5427,2025-03-06,north,referral,2,51,120.88,60.22
5428,2025-05-24,north,organic,4,58,539.42,118.0
5429,2025-01-22,north,referral,1,47,69.74,41.25
5430,2025-10-28,north,paid_ad,2,70,381.6,96.82
5431,2025-06-20,west,organic,2,31,56.35,37.56
5432,2025-01-29,north,organic,3,48,248.32,69.42
5433,2025-05-31,north,organic,3,57,98.18,60.11
5434,2025-09-30,north,paid_ad,5,52,104.11,73.08
5435,2025-02-22,north,organic,2,33,109.86,64.9
5436,2025-11-26,west,referral,4,62,229.67,104.19
5437,2025-11-30,east,organic,1,47,133.73,73.51
5438,2025-09-02,west,organic,2,53,135.4,79.71
5439,2025-07-01,south,referral,3,39,544.55,127.44
5440,2025-11-22,west,paid_ad,4,48,172.46,52.91
5441,2025-10-02,north,paid_ad,4,58,45.01,37.17
5442,2025-08-16,south,paid_ad,3,58,91.44,54.73
5443,2025-04-04,south,paid_ad,2,42,56.51,22.61
5444,2025-12-30,west,paid_ad,3,34,16.58,35.51
5445,2025-10-20,east,organic,4,44,131.79,
5446,2025-02-25,north,paid_ad,2,59,725.58,140.45
5447,2025-02-25,north,organic,5,70,131.77,42.65
5448,2025-05-29,west,organic,4,46,65.59,
5449,2025-10-31,west,organic,4,35,72.29,54.35
5450,2025-07-12,east,paid_ad,5,46,20.7,24.8
5451,2025-03-25,east,organic,5,59,852.1,157.43
5452,2025-06-30,south,referral,2,20,37.13,28.65
5453,2025-06-07,north,referral,5,48,142.45,47.77
5454,2025-05-17,north,referral,2,51,515.05,95.4
5455,2025-04-04,east,paid_ad,4,68,238.98,94.13
5456,2025-12-24,west,referral,3,21,45.48,32.32
5457,2025-12-23,east,organic,2,59,244.19,
5458,2025-02-26,north,paid_ad,1,66,202.11,69.01
5459,2025-05-12,north,paid_ad,2,23,122.29,48.82
5460,2025-12-31,south,paid_ad,4,30,110.61,32.98
5461,2025-07-31,west,organic,3,50,493.98,127.15
5462,2025-09-22,east,paid_ad,2,36,391.37,79.1
5463,2025-12-06,east,organic,1,68,124.4,86.1
5464,2025-08-18,west,organic,2,20,78.27,55.48
5465,2025-10-14,east,paid_ad,2,55,113.37,35.65
5466,2025-01-29,west,referral,5,30,192.1,121.08
5467,2025-12-16,east,referral,1,61,49.98,44.84
5468,2025-07-28,north,organic,2,28,242.38,97.2
5469,2025-11-04,north,organic,3,23,130.87,57.06
5470,2025-07-17,north,paid_ad,3,41,74.79,7.59
5471,2025-05-22,east,paid_ad,3,31,337.32,118.88
5472,2025-09-24,east,referral,2,43,258.55,75.54
5473,2025-05-24,east,referral,5,62,54.65,51.31
5474,2025-01-09,north,organic,5,57,182.44,26.66
5475,2025-04-10,north,paid_ad,3,66,27.9,11.82
5476,2025-09-28,north,paid_ad,1,46,243.62,84.59
5477,2025-11-10,west,referral,5,56,258.54,83.41
5478,2025-12-19,east,referral,4,30,63.93,9.92
5479,2025-10-16,north,referral,5,54,578.52,120.13
5480,2025-10-22,west,paid_ad,1,68,296.62,127.42
5481,2025-05-18,east,organic,1,46,332.53,66.15
5482,2025-06-24,north,paid_ad,5,29,149.32,80.44
5483,2025-10-10,east,organic,3,55,451.89,106.58
5484,2025-10-25,north,paid_ad,2,48,232.32,86.96
5485,2025-02-08,north,paid_ad,3,36,403.34,76.58
5486,2025-12-13,east,organic,4,70,131.94,52.08
5487,2025-05-10,east,organic,4,63,428.33,99.29
5488,2025-05-12,north,organic,4,67,1161.06,238.64
5489,2025-09-22,west,referral,4,47,1002.33,199.88
5490,2025-04-21,west,referral,4,49,38.14,56.99
5491,2025-06-04,north,paid_ad,4,64,905.12,200.84
5492,2025-05-01,east,paid_ad,5,23,41.8,8.31
5493,2025-11-04,north,organic,5,45,334.63,69.4
5494,2025-08-16,north,organic,3,53,527.25,160.86
5495,2025-12-28,south,organic,2,44,227.08,23.55
5496,2025-09-23,north,organic,4,27,710.4,171.69
5497,2025-01-25,north,paid_ad,1,70,70.45,60.04
5498,2025-02-22,north,referral,1,41,133.89,73.79
